French,English
partie,part
histoire,history
pensais,thought
aide,help
demande,request
mois,month
frère,brother
laisser,let
car,because
aucun,no
laisse,leash
eux,them
ville,city
chaque,each
parlé,speak
arrivé,come
bébé,baby
longtemps,long time
heures,hours
vont,will
revoir,meet again
aucune,any
place,square
parle,speak
compris,understood
attention,Warning
voici,here is
pourrais,could
donner,give
type,type
train,train
endroit,place
dont,whose
perdu,lost
main,hand
sois,be
tiens,here
matin,morning
tellement,so much
enfant,child
point,point
pardon,sorry
devant,in front of
demandé,request
mis,placed
belle,beautiful
aujourd'hui,today
mari,husband
enfin,finally
espère,hope
eau,water
parti,left
nouvelle,new
boulot,job
terre,Earth
compte,account
donne,given
croire,believe
chérie,sweetheart
aura,will have
filles,girls
jouer,to play
